2,482,VTS,10,70,55
2,380,FSK,85,15,95
2,789,CVT,40,55,60
4,482,VTS,20,20,30
1,978,BPI,90,15,75
4,978,BPI,40,15,55
2,473,KFL,50,95,40
2,921,BOV,85,15,20
3,451,AFE,30,35,55
4,304,CVG,40,30,35
1,846,RCU,20,25,25
4,710,PKO,95,65,40
3,593,DNR,0,5,40
3,110,BTM,45,75,80
4,654,MMN,0,35,40
2,418,QGL,80,65,70
1,389,WNF,15,55,5
2,698,INT,55,90,30
3,311,SRQ,40,40,10
1,580,UWR,15,25,80
1,882,NRN,95,10,30
1,843,QMW,10,60,60
3,490,PMF,60,20,15
1,708,CMW,65,60,60
1,273,WHN,65,55,85
4,398,HVN,45,95,10
1,922,PDD,45,85,10
3,405,HBW,45,5,70
2,930,CMF,30,85,35
4,624,HOO,25,0,60
2,326,DUA,70,85,35
4,699,DMW,60,90,20
1,440,LCO,35,40,65
4,234,GHC,75,90,0
3,170,TRR,45,5,45
2,209,OEA,55,90,70
2,871,BGN,25,20,70
2,671,ETW,50,45,75
4,546,RHP,75,25,25
1,528,EWG,5,45,80
4,266,BPA,5,50,0
4,807,IWJ,10,50,0
1,779,KDU,70,75,30
4,135,PGI,85,45,20
4,563,JPF,55,45,0
1,866,VCH,65,80,45
2,257,GTO,55,40,70
1,236,BAU,40,50,90
1,438,DWP,80,35,25
1,272,HJC,75,40,0
2,384,FEF,25,80,100
4,919,WTJ,90,85,100
1,971,FKT,60,90,15
2,227,DGK,45,70,35
1,464,OPB,5,60,25
4,249,ROL,50,95,5
1,740,QEG,10,65,65
4,207,FAS,90,25,85
3,105,HWU,40,15,95
2,771,PCW,90,35,65
1,141,RRH,25,80,50
4,990,BLP,80,55,60
1,949,GFI,45,65,5
1,954,FEQ,5,60,10
4,527,HTJ,90,55,40
3,701,GMJ,40,20,20
4,530,VST,20,20,80
3,350,DVH,30,45,45
1,880,VWG,35,5,85
4,989,MAF,55,20,85
2,751,HGI,25,20,5
1,479,CAI,40,40,95
3,103,OPV,35,0,70
2,825,OSH,25,75,75
4,392,DJA,0,10,45
4,546,AQO,30,35,35
4,435,HQE,5,80,45
3,427,RGK,100,90,5
2,441,DUL,45,15,75
3,570,MTR,75,85,85
2,299,HRE,40,20,60
1,911,ETP,0,70,25
3,645,RRR,5,100,0
2,255,RSD,40,95,5
4,867,VBN,60,70,10
2,563,AVE,15,80,80
3,800,CMF,10,60,60
4,768,BHW,95,5,25
2,255,SOI,20,30,30
2,337,HVQ,50,70,30
4,444,AFW,90,25,85
3,458,LCN,90,45,0
4,536,TJM,75,10,5
4,583,JUW,75,0,20
3,600,MWH,95,45,70
1,688,ETD,100,35,90
2,591,BBP,60,50,0
2,694,NPE,30,15,70
4,322,KMM,15,0,70
2,200,VJH,45,25,60
